index,J,F1,F,ef,mF,parity,purity,E_MHz
49,3,3,3.5,f,-0.5,+1,0.5000,87304.789422
50,3,3,3.5,f,+0.5,+1,0.5000,87304.839060
51,3,3,3.5,f,+1.5,+1,0.5000,87304.888775
52,3,3,3.5,f,+2.5,+1,0.5000,87304.938565
53,3,3,3.5,f,+3.5,+1,0.5000,87304.988429
70,4,4,3.5,e,-3.5,+1,0.5000,145460.898979
71,4,4,3.5,e,-2.5,+1,0.5000,145460.958121
72,4,4,3.5,e,-1.5,+1,0.5000,145461.017218
73,4,4,3.5,e,-0.5,+1,0.4999,145461.076268
74,4,4,3.5,e,+0.5,+1,0.5000,145461.135275
75,4,4,3.5,e,+1.5,+1,0.5000,145461.194237
76,4,4,3.5,e,+2.5,+1,0.5000,145461.253155
77,4,4,3.5,e,+3.5,+1,0.5000,145461.312031
88,4,4,3.5,f,-3.5,-1,0.5000,145513.821333
89,4,4,3.5,f,-2.5,-1,0.5000,145513.874064
90,4,4,3.5,f,-1.5,-1,0.5000,145513.926755
91,4,4,3.5,f,-0.5,-1,0.5000,145513.979407
92,4,4,3.5,f,+0.5,-1,0.5000,145514.032020
93,4,4,3.5,f,+1.5,-1,0.5000,145514.084594
94,4,4,3.5,f,+2.5,-1,0.5000,145514.137130
95,4,4,3.5,f,+3.5,-1,0.5000,145514.189628
60,4,4,4.5,e,-4.5,+1,0.5000,145456.493469
61,4,4,4.5,e,-3.5,+1,0.5000,145456.532489
62,4,4,4.5,e,-2.5,+1,0.5000,145456.571556
63,4,4,4.5,e,-1.5,+1,0.5000,145456.610668
64,4,4,4.5,e,-0.5,+1,0.4999,145456.649825
65,4,4,4.5,e,+0.5,+1,0.5000,145456.689027
66,4,4,4.5,e,+1.5,+1,0.5000,145456.728272
67,4,4,4.5,e,+2.5,+1,0.5000,145456.767561
68,4,4,4.5,e,+3.5,+1,0.5000,145456.806893
69,4,4,4.5,e,+4.5,+1,0.5000,145456.846267
78,4,4,4.5,f,-4.5,-1,0.5000,145509.416485
79,4,4,4.5,f,-3.5,-1,0.5000,145509.450412
80,4,4,4.5,f,-2.5,-1,0.5000,145509.484380
81,4,4,4.5,f,-1.5,-1,0.5000,145509.518388
82,4,4,4.5,f,-0.5,-1,0.5000,145509.552435
83,4,4,4.5,f,+0.5,-1,0.5000,145509.586522
84,4,4,4.5,f,+1.5,-1,0.5000,145509.620646
85,4,4,4.5,f,+2.5,-1,0.5000,145509.654809
86,4,4,4.5,f,+3.5,-1,0.5000,145509.689009
87,4,4,4.5,f,+4.5,-1,0.5000,145509.723246
108,5,5,4.5,e,-4.5,-1,0.5000,218188.538845
109,5,5,4.5,e,-3.5,-1,0.5000,218188.584590
110,5,5,4.5,e,-2.5,-1,0.5000,218188.630305
111,5,5,4.5,e,-1.5,-1,0.4999,218188.675991
112,5,5,4.5,e,-0.5,-1,0.4999,218188.721648
113,5,5,4.5,e,+0.5,-1,0.4999,218188.767276
114,5,5,4.5,e,+1.5,-1,0.4999,218188.812876
115,5,5,4.5,e,+2.5,-1,0.5000,218188.858448
116,5,5,4.5,e,+3.5,-1,0.5000,218188.903992
117,5,5,4.5,e,+4.5,-1,0.5000,218188.949508
130,5,5,4.5,f,-4.5,+1,0.5000,218267.917071
131,5,5,4.5,f,-3.5,+1,0.5000,218267.956522
132,5,5,4.5,f,-2.5,+1,0.5000,218267.995948
133,5,5,4.5,f,-1.5,+1,0.5000,218268.035348
134,5,5,4.5,f,-0.5,+1,0.4999,218268.074724
135,5,5,4.5,f,+0.5,+1,0.4999,218268.114075
136,5,5,4.5,f,+1.5,+1,0.5000,218268.153401
137,5,5,4.5,f,+2.5,+1,0.5000,218268.192703
138,5,5,4.5,f,+3.5,+1,0.5000,218268.231982
139,5,5,4.5,f,+4.5,+1,0.5000,218268.271237
96,5,5,5.5,e,-5.5,-1,0.5000,218184.994150
97,5,5,5.5,e,-4.5,-1,0.5000,218185.025355
98,5,5,5.5,e,-3.5,-1,0.5000,218185.056590
99,5,5,5.5,e,-2.5,-1,0.5000,218185.087855
100,5,5,5.5,e,-1.5,-1,0.4999,218185.119150
101,5,5,5.5,e,-0.5,-1,0.4999,218185.150473
102,5,5,5.5,e,+0.5,-1,0.4999,218185.181825
103,5,5,5.5,e,+1.5,-1,0.4999,218185.213205
104,5,5,5.5,e,+2.5,-1,0.5000,218185.244613
105,5,5,5.5,e,+3.5,-1,0.5000,218185.276049
106,5,5,5.5,e,+4.5,-1,0.5000,218185.307512
107,5,5,5.5,e,+5.5,-1,0.5000,218185.339002
118,5,5,5.5,f,-5.5,+1,0.5000,218264.372920
119,5,5,5.5,f,-4.5,+1,0.5000,218264.398915
120,5,5,5.5,f,-3.5,+1,0.5000,218264.424935
121,5,5,5.5,f,-2.5,+1,0.5000,218264.450980
122,5,5,5.5,f,-1.5,+1,0.5000,218264.477051
123,5,5,5.5,f,-0.5,+1,0.4999,218264.503146
124,5,5,5.5,f,+0.5,+1,0.4999,218264.529266
125,5,5,5.5,f,+1.5,+1,0.5000,218264.555411
126,5,5,5.5,f,+2.5,+1,0.5000,218264.581579
127,5,5,5.5,f,+3.5,+1,0.5000,218264.607772
128,5,5,5.5,f,+4.5,+1,0.5000,218264.633987
129,5,5,5.5,f,+5.5,+1,0.5000,218264.660226
