index,J,F1,F,ef,mF,parity,purity,E_MHz
54,3,3,2.5,f,-2.5,+1,0.5000,87310.591011
55,3,3,2.5,f,-1.5,+1,0.5000,87310.598964
56,3,3,2.5,f,-0.5,+1,0.5000,87310.606916
57,3,3,2.5,f,+0.5,+1,0.5000,87310.614868
58,3,3,2.5,f,+1.5,+1,0.5000,87310.622819
59,3,3,2.5,f,+2.5,+1,0.5000,87310.630769
32,3,3,3.5,e,-3.5,-1,0.5000,87273.055607
33,3,3,3.5,e,-2.5,-1,0.5000,87273.061061
34,3,3,3.5,e,-1.5,-1,0.5000,87273.066517
35,3,3,3.5,e,-0.5,-1,0.5000,87273.071973
36,3,3,3.5,e,+0.5,-1,0.5000,87273.077429
37,3,3,3.5,e,+1.5,-1,0.5000,87273.082887
38,3,3,3.5,e,+2.5,-1,0.5000,87273.088346
39,3,3,3.5,e,+3.5,-1,0.5000,87273.093805
46,3,3,3.5,f,-3.5,+1,0.5000,87304.797331
47,3,3,3.5,f,-2.5,+1,0.5000,87304.802292
48,3,3,3.5,f,-1.5,+1,0.5000,87304.807255
49,3,3,3.5,f,-0.5,+1,0.5000,87304.812217
50,3,3,3.5,f,+0.5,+1,0.5000,87304.817181
51,3,3,3.5,f,+1.5,+1,0.5000,87304.822145
52,3,3,3.5,f,+2.5,+1,0.5000,87304.827111
53,3,3,3.5,f,+3.5,+1,0.5000,87304.832076
70,4,4,3.5,e,-3.5,+1,0.5000,145461.084677
71,4,4,3.5,e,-2.5,+1,0.5000,145461.090579
72,4,4,3.5,e,-1.5,+1,0.5000,145461.096481
73,4,4,3.5,e,-0.5,+1,0.5000,145461.102382
74,4,4,3.5,e,+0.5,+1,0.5000,145461.108283
75,4,4,3.5,e,+1.5,+1,0.5000,145461.114183
76,4,4,3.5,e,+2.5,+1,0.5000,145461.120083
77,4,4,3.5,e,+3.5,+1,0.5000,145461.125983
88,4,4,3.5,f,-3.5,-1,0.5000,145513.986912
89,4,4,3.5,f,-2.5,-1,0.5000,145513.992175
90,4,4,3.5,f,-1.5,-1,0.5000,145513.997437
91,4,4,3.5,f,-0.5,-1,0.5000,145514.002699
92,4,4,3.5,f,+0.5,-1,0.5000,145514.007960
93,4,4,3.5,f,+1.5,-1,0.5000,145514.013221
94,4,4,3.5,f,+2.5,-1,0.5000,145514.018482
95,4,4,3.5,f,+3.5,-1,0.5000,145514.023742
60,4,4,4.5,e,-4.5,+1,0.5000,145456.652228
61,4,4,4.5,e,-3.5,+1,0.5000,145456.656147
62,4,4,4.5,e,-2.5,+1,0.5000,145456.660065
63,4,4,4.5,e,-1.5,+1,0.5000,145456.663984
64,4,4,4.5,e,-0.5,+1,0.5000,145456.667904
65,4,4,4.5,e,+0.5,+1,0.5000,145456.671824
66,4,4,4.5,e,+1.5,+1,0.5000,145456.675744
67,4,4,4.5,e,+2.5,+1,0.5000,145456.679665
68,4,4,4.5,e,+3.5,+1,0.5000,145456.683586
69,4,4,4.5,e,+4.5,+1,0.5000,145456.687508
78,4,4,4.5,f,-4.5,-1,0.5000,145509.554528
79,4,4,4.5,f,-3.5,-1,0.5000,145509.557935
80,4,4,4.5,f,-2.5,-1,0.5000,145509.561342
81,4,4,4.5,f,-1.5,-1,0.5000,145509.564750
82,4,4,4.5,f,-0.5,-1,0.5000,145509.568158
83,4,4,4.5,f,+0.5,-1,0.5000,145509.571566
84,4,4,4.5,f,+1.5,-1,0.5000,145509.574975
85,4,4,4.5,f,+2.5,-1,0.5000,145509.578384
86,4,4,4.5,f,+3.5,-1,0.5000,145509.581794
87,4,4,4.5,f,+4.5,-1,0.5000,145509.585204
108,5,5,4.5,e,-4.5,-1,0.5000,218188.723502
109,5,5,4.5,e,-3.5,-1,0.5000,218188.728066
110,5,5,4.5,e,-2.5,-1,0.5000,218188.732630
111,5,5,4.5,e,-1.5,-1,0.5000,218188.737194
112,5,5,4.5,e,-0.5,-1,0.5000,218188.741757
113,5,5,4.5,e,+0.5,-1,0.5000,218188.746320
114,5,5,4.5,e,+1.5,-1,0.5000,218188.750883
115,5,5,4.5,e,+2.5,-1,0.5000,218188.755445
116,5,5,4.5,e,+3.5,-1,0.5000,218188.760007
117,5,5,4.5,e,+4.5,-1,0.5000,218188.764569
130,5,5,4.5,f,-4.5,+1,0.5000,218268.076324
131,5,5,4.5,f,-3.5,+1,0.5000,218268.080261
132,5,5,4.5,f,-2.5,+1,0.5000,218268.084197
133,5,5,4.5,f,-1.5,+1,0.5000,218268.088132
134,5,5,4.5,f,-0.5,+1,0.5000,218268.092068
135,5,5,4.5,f,+0.5,+1,0.5000,218268.096003
136,5,5,4.5,f,+1.5,+1,0.5000,218268.099938
137,5,5,4.5,f,+2.5,+1,0.5000,218268.103873
138,5,5,4.5,f,+3.5,+1,0.5000,218268.107807
139,5,5,4.5,f,+4.5,+1,0.5000,218268.111741
96,5,5,5.5,e,-5.5,-1,0.5000,218185.149334
97,5,5,5.5,e,-4.5,-1,0.5000,218185.152467
98,5,5,5.5,e,-3.5,-1,0.5000,218185.155601
99,5,5,5.5,e,-2.5,-1,0.5000,218185.158735
100,5,5,5.5,e,-1.5,-1,0.5000,218185.161870
101,5,5,5.5,e,-0.5,-1,0.5000,218185.165005
102,5,5,5.5,e,+0.5,-1,0.5000,218185.168140
103,5,5,5.5,e,+1.5,-1,0.5000,218185.171275
104,5,5,5.5,e,+2.5,-1,0.5000,218185.174410
105,5,5,5.5,e,+3.5,-1,0.5000,218185.177546
106,5,5,5.5,e,+4.5,-1,0.5000,218185.180682
107,5,5,5.5,e,+5.5,-1,0.5000,218185.183819
118,5,5,5.5,f,-5.5,+1,0.5000,218264.502209
119,5,5,5.5,f,-4.5,+1,0.5000,218264.504819
120,5,5,5.5,f,-3.5,+1,0.5000,218264.507430
121,5,5,5.5,f,-2.5,+1,0.5000,218264.510041
122,5,5,5.5,f,-1.5,+1,0.5000,218264.512653
123,5,5,5.5,f,-0.5,+1,0.5000,218264.515264
124,5,5,5.5,f,+0.5,+1,0.5000,218264.517876
125,5,5,5.5,f,+1.5,+1,0.5000,218264.520488
126,5,5,5.5,f,+2.5,+1,0.5000,218264.523101
127,5,5,5.5,f,+3.5,+1,0.5000,218264.525713
128,5,5,5.5,f,+4.5,+1,0.5000,218264.528326
129,5,5,5.5,f,+5.5,+1,0.5000,218264.530939
